Speaker,Negotiation,DialogAct,Text
A,,Task,Uh dual channel . Uh 
C,,Task,"Yes , that's important . "
A,,Elicit,And and do we want um the ten digits ? 
B,,Elicit,The ten digits ? 
B,,Task,"Yeah , I believe so . "
C,,Minor,"Well , "
C,,Elicit,are are you sure ? 
D,,Minor,"Well , "
D,,Task,if you want to go to channel ninety and you have th that button . 
C,,Task,I'm not so sure . 
B,,Minor,Yeah . 
C,,Minor,"Well , "
C,,Task,"that's complicated , "
A,,Task,Yeah . 
C,,Elicit,but is that so relevant ? 
C,,Task,Because I don't think 
C,,Elicit,but you should uh shou you should know that . If it were so . 
B,,Task,I wouldn't buy it personally . A remote control without the ten digits . 
C,,Other,"Okay , "
C,,Minor,I can imagine when 
B,,Minor,Uh and I think the most 
A,,Task,I agree actually . 
C,,Task,"I can imagine when you're when you have a satellite decoder and and you have , well , about six hundred channels , I can imagine you want this . "
B,,Task,"Just elder elder people would would buy it , "
D,,Minor,Well 
B,,Minor,but 
C,,Task,"But if you're uh a regular T_V_ user , and you just want uh to watch the the Dutch television networks , well , you can uh you can use uh about ten buttons . That's enough . "
A,,Task,But we do have thirteen different Dutch channels . 
D,,Minor,But 
B,,Minor,Yep . 
D,,Minor,"Yeah , "
B,,Task,The older people only use five of them . 
D,,Minor,and if if we 
C,,Minor,"Well , "
C,,Elicit,but how how often do you watch all these channels ? 
D,,Task,"And if we are targeting at the younger audience , they will probably watch more channels than the older people . "
A,,Task,Often . 
D,,Minor,So 
C,,Task,"No , you're probably right . "
B,,Task,Yeah . 
C,,Minor,Okay . 
C,,Task,But I think these uh ten uh buttons look a bit dull . 
C,,Elicit,Don't you think ? 
A,,Minor,"Well , "
A,,Task,"it depends on the on the on the looks , "
C,,Task,The design . 
A,,Minor,on the on the 
B,,Task,On the design . 
C,,Other,Okay . 
C,,Minor,"Well , "
C,,Minor,y 
C,,Task,then there should be should done be done something specific with it . 
D,,Minor,Well 
A,,Task,You c you can d make them very fancy 
D,,Minor,And 
A,,Minor,by um 
A,,Task,"I mean Nokia , they have ten digits on their phones "
C,,Minor,Mm-hmm . 
A,,Task,and it still looks very fancy . 
B,,Minor,Yeah . 
A,,Minor,So I'm I'm I do not agree 
C,,Other,"Okay , "
C,,Elicit,"so you can experiment by uh with with shape or with size or with colour , that kind of thing . "
A,,Task,"Exactly , exactly . "
C,,Other,Okay . 
D,,Task,And um there are some numbers about uh speech recognition here that uh younger people would like it . 
D,,Task,"Uh it might be expensive and uh hard to implement , "
D,,Task,but it would be a solution uh for 
A,,Minor,"Okay , "
A,,Elicit,speech . 
C,,Minor,"Well , "
C,,Task,maybe it can be combined with the find the remote control . 
B,,Task,Yeah . 
C,,Minor,So um 
C,,Task,"when you add uh speech recognition to your remote control , uh it's very easy to change uh the channel . That's one thing . "
A,,Minor,Yeah . 
C,,Task,And it's very easy uh to find your remote control . 
A,,Minor,To find 
A,,Task,yeah . 
C,,Task,"So maybe that's a possibility , "
C,,Task,but I'm afraid it will be a bit costly . 
D,,Task,Yeah . 
C,,Minor,But maybe when we uh 
A,,Task,Uh If if we would um drop the ten digits 
C,,Minor,Mm-hmm . 
A,,Task,"but keep the programme and the volume , "
A,,Task,"because maybe people do not always want to use their voice , um "
C,,Minor,Okay . 
C,,Minor,"Okay , okay . "
D,,Task,Especially elder people uh don't like voice recognition . 
D,,Minor,So then we should implement such a but 
A,,Minor,Yeah . 
A,,Task,But we do focus on younger people . 
A,,Minor,We d it 
C,,Minor,Okay . 
D,,Minor,Yes . 
A,,Task,it's a board uh decision . 
C,,Minor,Well . 
C,,Task,"I I think it should uh should work , it sh we should manage that . "
B,,Minor,So 
B,,Elicit,we have to i to make um a decision between the ten digits or the voice recognition . 
A,,Task,Okay . 
C,,Task,Yes . 
C,,Minor,"Well , "
C,,Task,the voice recognition has the main adva has another advantage . 
C,,Task,It's mas it makes it very easy for us to implement the find uh find the remote control button uh remote control function . 
B,,Other,Mm-hmm . 
C,,Task,"So that's that's a big advantage , I think . "
A,,Task,Okay . 
A,,Task,"Okay , g good . "
A,,Minor,Okay . 
C,,Task,There's only one disadvantage uh by implementing this . 
C,,Task,Um the power saving power saving will be a bit more difficult . 
C,,Task,So we can expect that there will be a less longer life to the batteries . 
A,,Minor,Mm . 
C,,Elicit,But maybe can we we can think something smart about it . 
A,,Minor,Yep . 
C,,Task,There are some uh hybrid hybrid devices which incorporate a solar panel and rechargeable batteries . 
A,,Other,Okay . 
C,,Task,"So when you just leave the device in a in a light room , it charges itself . "
A,,Elicit,But But but can we manage it bu uh for the costs ? 
C,,Task,You have to do nothing for it . 
D,,Minor,M 
A,,Minor,Because it seems like a very 
B,,Task,Twelve dollar fifty . 
D,,Task,"And uh if we if we could inc uh include a c a cradle in which it could recharge , then there wouldn't be uh a big problem . "
C,,Task,"Maybe , maybe not . "
C,,Other,I'll have to find that out . 
C,,Task,Yes . 
C,,Minor,So 
C,,Task,"No , "
C,,Task,that's very cheap . 
D,,Minor,'Cause when 
A,,Elicit,Is a cradle very cheap ? 
C,,Minor,It's 
C,,Minor,"Oh , "
C,,Task,it's very cheap . 
C,,Task,That's no problem . 
C,,Task,It's just a a case with two uh metal contacts . 
A,,Task,"I know , "
C,,Minor,It's 
A,,Task,b uh but there should be an adapter as well . 
C,,Task,"Yes , "
C,,Task,but they're they're mass production . 
D,,Minor,Yeah . 
C,,Task,They're very cheap . 
C,,Task,So it will cost us p practically nothing . 
A,,Other,Okay . 
A,,Minor,Okay . 
A,,Task,We we have uh about ten minutes left this meeting . Um 
A,,Minor,I would like to hear um maybe 
A,,Task,"maybe you all have th uh things not um spoken about , "
A,,Minor,"yeah , "
A,,Task,but that are important . 
A,,Task,"Uh Ruud , you you came up with the voice recognition uh data . "
A,,Elicit,Uh are there other things about the market we should know ? 
D,,Task,Um I think we dealt with the most important information . 
D,,Task,Just that the younger part of uh the market isn't the forty percent we uh want to sell to . 
D,,Task,So we we should uh for least a bit uh look at the uh older people . 
D,,Task,"But with uh buttons like that , which are easy to use , we uh might attract them too . "
A,,Minor,Okay . 
D,,Task,So I don't think that's a big problem 
A,,Minor,Okay . 
C,,Minor,Yeah . 
A,,Minor,"Okay , so "
A,,Elicit,"although we are focussing on younger people uh to make it uh profitable uh Profitable . We we yeah , we still need to take in account the the bit older people . "
D,,Task,"Yes . Yeah , profitable . "
C,,Task,Profitable . 
D,,Task,Yes . 
A,,Other,Okay . 
A,,Minor,O okay . Um 
A,,Elicit,Roo . 
B,,Task,"I have nothing uh nothing to add , I think . "
A,,Other,Nothing to add . 
A,,Elicit,Sebastian ? 
C,,Other,Um I just want to make a summary of all all things uh spoken and uh the different possibilities . Um 
A,,Task,Yeah ? Great . 
C,,Minor,so uh basically 
C,,Task,we've decided to implement a seemingly uh easy design . 
C,,Minor,So 
C,,Task,"on the outside it looks easy , "
C,,Task,but uh we can make it easy on the inside or elaborate on the inside . 
C,,Minor,So that's one the 
C,,Task,those are the choices we have to make . 
C,,Task,"But I think there's a big advantage in making it more elaborate by uh implementing uh speech techniques , uh voice recognition , that these kinds of things . "
A,,Minor,Mm-hmm . 
A,,Minor,Yeah . 
C,,Task,"Um it makes it also more uh attractable , I think , to our uh audience . "
C,,Task,"Um there are some advantages and some disadvantages , "
C,,Task,"and the main advantage is that we can implement uh fancy techniques , "
C,,Task,which uh I think our customers will like . 
C,,Task,"The disadvantage is that there are some concerns about uh the the costs and um the things like uh battery lifetime , energy saving . "
A,,Minor,Yep . 
C,,Task,Uh another advantage is that the circuit board will become much more easier if we do not do not implement these buttons . 
C,,Task,"If we just add uh uh a chip which does the voice recognition , uh our circuit board will become even more cheap . "
C,,Minor,So that's another 
A,,Minor,"Yeah , "
A,,Task,"and that was the main issue , "
A,,Elicit,right ? 
A,,Minor,The the board 
C,,Minor,"well , "
C,,Minor,it wa it w 
C,,Task,"it was an issue , "
C,,Minor,but we also thought that 
C,,Task,we already thought we should do it as cheaply as possible . 
A,,Minor,Yeah . 
C,,Task,And this even uh makes it more cheapy . 
B,,Elicit,But the cheaper the ch uh the the chip or th what was it ? 
C,,Minor,Mm-hmm . 
A,,Task,The board . 
B,,Task,The circuit board . 
C,,Task,The circuit board . 
B,,Task,The fewer buttons you can use on it . 
C,,Task,"The fewer buttons you have , the ch ch the cheaper the circuit board , yes . "
A,,Task,"No , "
A,,Minor,it's th 
A,,Task,yeah . 
B,,Other,"Yeah , okay . "
A,,Task,"It's the other way around , "
A,,Task,yeah . 
B,,Other,Yeah . 
C,,Task,"And it's very cheap uh to incorporate uh uh an integrated circuit , a chip . "
C,,Task,So that's that's another advantage . 
A,,Task,It shouldn't be a big issue . 
B,,Minor,Well 
B,,Minor,it 
B,,Task,then we should just uh take a look at the costs and uh especially for the voice recognition . 
C,,Minor,So 
C,,Task,"Yes , "
C,,Task,because I don't know 
C,,Task,Yes . 
C,,Minor,I d 
C,,Task,I really don't know . 
C,,Minor,So 
B,,Minor,No . 
C,,Task,It can be costly . 
A,,Minor,Okay . 
C,,Task,Maybe not . 
A,,Task,"I'm not sure how how we'll f uh determine the costs , "
A,,Other,I will have a look at it . 
A,,Task,Maybe you will get some information on that . 
C,,Minor,Yes . 
A,,Minor,Um I'm not sure how how that 
C,,Minor,"Yes , "
C,,Minor,I al I 
C,,Other,I hope my personal coach will uh have a lo uh look at it . 
A,,Minor,Yep . 
A,,Other,"Okay , great . "
A,,Minor,"Um well , "
A,,Task,I think we're qui quite done . 
B,,Task,"We're done , I think . "
A,,Task,Um for now we will have the lunch break . 
C,,Task,How nice . 
A,,Task,"Um I'm don't know how long the break will be , "
A,,Task,but we'll find out . 
B,,Task,Me neither . 
A,,Task,"Um then we will have thirty minutes of time to perform our individual work , "
A,,Task,uh and I'm sure your personal coaches will uh assist you with it . 
A,,Other,Um I will put the minutes I just made in the project documents folder . 
A,,Task,"If you want to look at it um well , just do . "
A,,Task,"Um the Interface Designer , um I would like to the next meeting I would like to receive the uh components concept . "
B,,Task,Interface industrial . 
A,,Other,"Uh I'm sorry , "
A,,Task,"yeah , "
B,,Minor,Yeah . 
A,,Other,I'm sorry . 
A,,Task,"User Interface Designer , uh Roo , I would like to see the user interface c uh concept . "
C,,Minor,"Well , "
C,,Other,we understand . 
A,,Minor,And um 
B,,Task,Uh the only problem is it that it depends on the divisions the decis uh decisions Sebastian makes . About the voice recognition . 
C,,Minor,Well 
A,,Minor,"Well , "
A,,Task,"i it should be easy , "
B,,Minor,Well 
A,,Task,that's w w what we concluded . 
A,,Task,"It should be an easy interface with not so much buttons . S just a a p a p a volume and a programme one . And um um yeah , some some fancy lights . "
C,,Minor,Mm yes . 
B,,Task,Yeah . 
A,,Task,I think that's what we decided . 
C,,Elicit,So we drop the voice recognition ? 
A,,Task,"No no no , we didn't "
C,,Minor,Or 
C,,Other,Oh . 
A,,Task,but it shouldn't be integrated 
A,,Minor,"yeah , "
A,,Task,"it's of course it's user interface , "
A,,Task,but um i I was talking about really the design of the 
C,,Other,Okay . 
C,,Minor,Well um 
C,,Elicit,do we really have to decide now 
C,,Elicit,or can we decide next meeting ? 
A,,Task,No . 
A,,Task,We can decide the next meeting . Yep . 
C,,Other,Okay . 
C,,Task,Because I'll have some updated info on that uh 
A,,Minor,Yeah . 
A,,Task,I guess all of you have i updated info . 
A,,Task,I'm sure the marketing expert will receive uh t uh you will do some trend watching . 
B,,Minor,Yep . 
A,,Task,"And I'm sure the market will um uh uh will change , adapt "
D,,Minor,Hmm . 
B,,Task,Adapt . 
C,,Task,Adapt . 
D,,Minor,Left . 
D,,Minor,Hmm . 
A,,Minor,and um so 
A,,Task,we will see that . 
A,,Minor,"Um yeah , "
A,,Task,that's it for now . 
B,,Task,That's it . 
B,,Task,'Kay . 
A,,Elicit,Any other questions 
A,,Elicit,or can we have the lunch ? 
C,,Task,We can have the lunch . 
D,,Task,Yeah . 
A,,Task,"Yeah , okay . "
B,,Task,I'll take the lunch . 
A,,Task,Good . 
